customer_id,gender,age,is_under_30,is_senior_citizen,has_partner,has_dependents,number_of_dependents
7495-ookfy,female,74,0,1,1,1,1
1658-bygoy,male,71,0,1,0,1,3
4598-xlknj,female,78,0,1,1,1,1
4846-whafz,female,80,0,1,1,1,1
4412-yltkf,female,72,0,1,0,1,1
0390-dcfdq,female,76,0,1,1,1,2
3445-hxxgf,male,66,0,1,1,0,0
2656-fmokz,female,70,0,1,0,1,2
2070-fnexe,female,77,0,1,0,1,2
0094-oifmo,female,78,0,1,0,1,1
9947-otfqu,male,65,0,1,0,0,0
9514-jdski,male,77,0,1,1,0,0
7273-tefqd,male,67,0,1,0,0,0
3606-twkgi,male,68,0,1,0,0,0
4385-gzqxv,female,68,0,1,0,0,0
3488-pgmqj,male,66,0,1,0,0,0
7534-bfesc,male,69,0,1,0,0,0
8098-llazx,female,74,0,1,0,0,0
0265-edxbd,male,76,0,1,1,0,0
2840-xanrc,male,77,0,1,1,0,0
5020-zstty,female,70,0,1,0,0,0
5804-lepim,female,74,0,1,0,0,0
0623-iihug,female,77,0,1,0,0,0
9057-mswco,male,71,0,1,1,0,0
4895-tmwir,male,79,0,1,1,0,0
0334-gddso,male,77,0,1,0,0,0
5564-nemqo,female,80,0,1,0,0,0
6235-vdhom,female,77,0,1,0,0,0
5609-cebid,female,77,0,1,0,0,0
5956-vkdtt,female,72,0,1,1,0,0
0257-zesqc,female,80,0,1,1,0,0
2865-tchjw,female,74,0,1,0,0,0
5192-ebgov,female,68,0,1,0,0,0
3419-snjjd,female,78,0,1,1,0,0
4554-ygzih,male,75,0,1,1,0,0
5099-bailx,male,77,0,1,1,0,0
4913-ehyui,male,80,0,1,1,0,0
1626-ercmm,male,75,0,1,1,0,0
5644-pdmzc,female,69,0,1,0,0,0
4160-amjtl,female,74,0,1,0,0,0
0823-hscdj,male,76,0,1,0,0,0
0067-dkwbl,male,69,0,1,0,0,0
5244-irfih,male,72,0,1,1,0,0
2684-eiweo,female,69,0,1,0,0,0
6683-vlctz,male,73,0,1,0,0,0
0691-ifbqw,female,65,0,1,0,0,0
3643-ahcfp,male,74,0,1,1,0,0
9231-zjyam,female,65,0,1,0,0,0
0727-bmplr,female,66,0,1,0,0,0
0947-mugvo,male,71,0,1,1,0,0
0781-lkxbr,male,65,0,1,0,0,0
1907-ubqfc,male,69,0,1,0,0,0
6513-eecdb,male,75,0,1,1,0,0
7074-ievoj,female,75,0,1,0,0,0
4750-zrxiu,female,68,0,1,0,0,0
7028-dvoiq,male,71,0,1,0,0,0
4208-uffgw,male,80,0,1,0,0,0
9889-tmahg,male,66,0,1,0,0,0
8919-fyfqz,male,73,0,1,1,0,0
6646-qvxlr,male,77,0,1,1,0,0
9369-xfehk,female,76,0,1,1,0,0
1374-dmzui,female,65,0,1,0,0,0
1989-prjhp,male,75,0,1,1,0,0
4822-rvybb,male,75,0,1,0,0,0
4184-tjfan,female,68,0,1,1,0,0
4145-uqxuq,female,71,0,1,0,0,0
1236-wfcdv,male,74,0,1,0,0,0
1271-sjbgz,male,77,0,1,0,0,0
8999-bohse,female,68,0,1,0,0,0
7029-rpuav,male,74,0,1,1,0,0
8111-sllhi,male,65,0,1,1,0,0
5293-wxjak,female,73,0,1,1,0,0
4086-yqsnz,female,74,0,1,1,0,0
8399-yndch,male,80,0,1,0,0,0
5565-filxa,female,76,0,1,0,0,0
4187-cinzd,female,73,0,1,0,0,0
6818-wobhj,female,70,0,1,1,0,0
9134-ceqmf,male,75,0,1,1,0,0
8519-imdhu,male,74,0,1,1,0,0
3372-kwfbm,male,76,0,1,0,0,0
7206-gzcdc,female,75,0,1,0,0,0
1768-zaifu,female,74,0,1,0,0,0
3793-mmfuh,female,73,0,1,0,0,0
6567-hoopw,female,69,0,1,0,0,0
8621-mnihh,female,75,0,1,1,0,0
5419-conwx,female,65,0,1,0,0,0
7024-ohcck,female,77,0,1,0,0,0
5357-tzhpp,male,67,0,1,0,0,0
0506-lvngn,female,78,0,1,0,0,0
9809-imgcq,male,65,0,1,0,0,0
3254-yrilk,male,74,0,1,0,0,0
0529-onker,male,70,0,1,0,0,0
5240-ijoqt,male,69,0,1,0,0,0
0661-xeyan,female,76,0,1,0,0,0
2660-emubi,male,71,0,1,0,0,0
7675-ozczg,female,76,0,1,0,0,0
9391-eoyli,male,77,0,1,1,0,0
2761-ociax,male,74,0,1,0,0,0
3068-omwza,male,77,0,1,0,0,0
4154-aqugt,male,76,0,1,1,0,0
8017-lxhfa,female,77,0,1,0,0,0
4248-qpavc,female,80,0,1,1,0,0
4690-llkua,male,68,0,1,0,0,0
9490-dfpmd,female,79,0,1,0,0,0
8580-aecuz,male,65,0,1,0,0,0
5047-lhvly,male,68,0,1,0,0,0
8375-dkebr,female,72,0,1,0,0,0
7279-buywn,female,66,0,1,0,0,0
7156-mhugy,male,68,0,1,0,0,0
9606-pbkbq,male,69,0,1,1,0,0
3536-iqctx,male,76,0,1,1,0,0
3132-tvfdz,male,70,0,1,1,0,0
8080-ddemj,male,71,0,1,0,0,0
6702-ohfwr,male,75,0,1,0,0,0
4510-pyush,female,67,0,1,0,0,0
8840-dqlgn,female,65,0,1,1,0,0
4193-orfcl,female,80,0,1,0,0,0
7776-qwnfx,male,71,0,1,1,0,0
6689-tczhq,female,70,0,1,0,0,0
9497-qcmms,male,73,0,1,0,0,0
3424-nmnbo,male,78,0,1,1,0,0
4514-gfcfi,female,76,0,1,0,0,0
8000-reiqb,female,73,0,1,0,0,0
4795-ktrth,female,68,0,1,1,0,0
9961-jbnmk,male,79,0,1,0,0,0
6179-gjpso,female,67,0,1,0,0,0
8290-ywkhz,female,69,0,1,1,0,0
8051-hjrlt,female,72,0,1,0,0,0
4021-rqsny,male,75,0,1,1,0,0
9061-tihda,male,67,0,1,1,0,0
8699-asufo,male,72,0,1,1,0,0
4695-wjzue,female,68,0,1,0,0,0
3988-rqixo,female,68,0,1,0,0,0
5931-fljjf,male,75,0,1,1,0,0
3207-oybwh,male,74,0,1,1,0,0
7216-ewtrs,female,78,0,1,1,0,0
2528-hfyzx,male,66,0,1,1,0,0
