customer_id,contract_type,has_paperless_billing,payment_method,monthly_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
8779-qrdmv,month-to-month,1,bank withdrawal,39.65,39.65,0.0,20.0,0.0,59.65
7495-ookfy,month-to-month,1,credit card,80.65,633.3,0.0,0.0,390.8,1024.1
1658-bygoy,month-to-month,1,bank withdrawal,95.45,1752.55,45.61,0.0,203.94,1910.88
4598-xlknj,month-to-month,1,bank withdrawal,98.5,2514.5,13.43,0.0,494.0,2995.07
4846-whafz,month-to-month,1,bank withdrawal,76.5,2868.15,0.0,0.0,234.21,3102.36
4412-yltkf,month-to-month,1,bank withdrawal,78.05,2135.5,0.0,10.0,89.91,2235.41
0390-dcfdq,month-to-month,1,mailed check,70.45,70.45,0.0,0.0,15.28,85.73
3445-hxxgf,month-to-month,1,bank withdrawal,45.3,2651.2,40.95,0.0,0.0,2610.25
2656-fmokz,month-to-month,1,mailed check,74.45,1145.7,0.0,0.0,661.05,1806.75
2070-fnexe,month-to-month,0,bank withdrawal,76.45,503.6,11.05,0.0,188.65,681.2
0094-oifmo,month-to-month,1,bank withdrawal,95.0,1120.3,0.0,120.0,127.49,1367.79
9947-otfqu,month-to-month,1,bank withdrawal,74.4,1074.3,0.0,0.0,436.65,1510.95
9514-jdski,month-to-month,0,bank withdrawal,40.2,40.2,0.0,0.0,0.0,40.2
7273-tefqd,month-to-month,1,bank withdrawal,41.15,132.2,0.0,0.0,0.0,132.2
3606-twkgi,month-to-month,1,bank withdrawal,106.9,1364.3,0.0,10.0,424.84,1799.14
4385-gzqxv,month-to-month,1,bank withdrawal,94.45,1511.2,0.0,0.0,150.88,1662.08
3488-pgmqj,month-to-month,1,bank withdrawal,74.5,606.55,0.0,0.0,14.24,620.79
7534-bfesc,month-to-month,1,bank withdrawal,76.1,1712.7,0.0,0.0,740.88,2453.58
8098-llazx,month-to-month,1,bank withdrawal,95.45,396.1,0.0,0.0,126.44,522.54
0265-edxbd,month-to-month,1,bank withdrawal,74.9,2303.35,0.0,0.0,1514.88,3818.23
2840-xanrc,month-to-month,1,bank withdrawal,93.15,2231.05,0.0,0.0,386.4,2617.45
5020-zstty,one year,0,bank withdrawal,82.45,4350.1,0.0,0.0,652.32,5002.42
5804-lepim,month-to-month,1,bank withdrawal,70.35,139.05,0.0,0.0,26.34,165.39
0623-iihug,month-to-month,1,bank withdrawal,41.9,840.1,0.0,0.0,0.0,840.1
9057-mswco,month-to-month,0,credit card,30.75,805.1,0.0,140.0,0.0,945.1
4895-tmwir,month-to-month,0,mailed check,19.95,214.75,0.0,0.0,324.94,539.69
0533-bnwkf,month-to-month,1,bank withdrawal,85.45,4874.7,0.0,90.0,2355.1,7319.8
0334-gddso,month-to-month,1,bank withdrawal,81.35,233.7,0.0,0.0,27.66,261.36
5564-nemqo,month-to-month,1,bank withdrawal,75.3,75.3,0.0,20.0,35.09,130.39
6235-vdhom,month-to-month,0,bank withdrawal,28.45,131.05,0.0,0.0,0.0,131.05
5609-cebid,month-to-month,1,bank withdrawal,94.1,1782.4,0.0,80.0,974.6,2837.0
5956-vkdtt,month-to-month,1,bank withdrawal,74.35,334.8,0.0,0.0,228.8,563.6
0257-zesqc,month-to-month,1,bank withdrawal,75.2,1929.35,0.0,0.0,189.54,2118.89
2865-tchjw,month-to-month,1,bank withdrawal,89.2,346.2,0.0,0.0,193.4,539.6
5192-ebgov,month-to-month,1,bank withdrawal,85.7,85.7,0.0,0.0,45.81,131.51
4554-ygzih,month-to-month,0,credit card,90.05,4547.25,0.0,0.0,1123.08,5670.33
5099-bailx,month-to-month,1,bank withdrawal,110.75,4687.9,0.0,0.0,624.36,5312.26
4913-ehyui,one year,1,bank withdrawal,104.55,5794.65,0.0,0.0,2732.8,8527.45
1626-ercmm,month-to-month,1,bank withdrawal,94.55,1899.65,0.0,0.0,106.2,2005.85
5644-pdmzc,month-to-month,0,bank withdrawal,89.5,161.5,0.0,0.0,94.94,256.44
4160-amjtl,month-to-month,0,bank withdrawal,19.65,164.3,0.0,0.0,223.6,387.9
0823-hscdj,month-to-month,1,bank withdrawal,49.15,2550.9,0.0,30.0,0.0,2580.9
0067-dkwbl,month-to-month,1,bank withdrawal,49.25,91.1,0.0,0.0,87.98,179.08
5244-irfih,month-to-month,1,bank withdrawal,94.5,3105.55,0.0,0.0,916.74,4022.29
2684-eiweo,month-to-month,0,credit card,91.7,2758.15,0.0,0.0,1376.4,4134.55
6683-vlctz,month-to-month,1,bank withdrawal,98.55,1842.8,0.0,120.0,888.8,2851.6
0691-ifbqw,one year,1,bank withdrawal,110.0,4874.8,0.0,0.0,109.02,4983.82
3643-ahcfp,month-to-month,1,bank withdrawal,95.6,644.35,0.0,0.0,153.37,797.72
9231-zjyam,month-to-month,1,bank withdrawal,78.85,292.8,0.0,0.0,147.72,440.52
0727-bmplr,one year,1,bank withdrawal,100.0,5509.3,0.0,100.0,2055.9,7665.2
0947-mugvo,month-to-month,1,bank withdrawal,73.65,1463.5,0.0,0.0,107.4,1570.9
0781-lkxbr,month-to-month,1,bank withdrawal,100.5,918.6,0.0,0.0,438.39,1356.99
1907-ubqfc,month-to-month,1,bank withdrawal,72.85,688.65,0.0,30.0,54.6,773.25
6513-eecdb,month-to-month,1,bank withdrawal,73.55,73.55,0.0,0.0,36.92,110.47
7074-ievoj,month-to-month,1,bank withdrawal,79.4,205.05,0.0,0.0,125.7,330.75
4750-zrxiu,month-to-month,1,bank withdrawal,84.6,360.1,0.0,0.0,26.72,386.82
7028-dvoiq,month-to-month,1,bank withdrawal,99.05,3395.8,0.0,120.0,729.05,4244.85
9889-tmahg,month-to-month,0,credit card,100.3,832.35,0.0,0.0,92.56,924.91
8919-fyfqz,month-to-month,1,bank withdrawal,30.35,1359.7,0.0,0.0,0.0,1359.7
6646-qvxlr,one year,1,bank withdrawal,103.75,6383.35,0.0,0.0,440.82,6824.17
9369-xfehk,month-to-month,1,bank withdrawal,80.6,2656.5,0.0,0.0,1095.27,3751.77
1374-dmzui,month-to-month,1,bank withdrawal,94.3,424.45,0.0,0.0,198.0,622.45
1989-prjhp,month-to-month,1,bank withdrawal,75.5,1893.95,0.0,0.0,286.2,2180.15
4822-rvybb,month-to-month,1,bank withdrawal,100.6,819.4,0.0,0.0,323.6,1143.0
4184-tjfan,month-to-month,1,mailed check,88.3,273.75,0.0,0.0,77.31,351.06
4145-uqxuq,month-to-month,1,bank withdrawal,92.1,729.95,0.0,0.0,343.44,1073.39
1236-wfcdv,month-to-month,0,credit card,90.45,1266.1,0.0,0.0,158.34,1424.44
1271-sjbgz,month-to-month,1,bank withdrawal,43.65,526.95,0.0,0.0,0.0,526.95
4441-nihpt,month-to-month,1,bank withdrawal,74.3,940.35,0.0,0.0,524.81,1465.16
8999-bohse,month-to-month,0,bank withdrawal,89.7,1047.7,0.0,0.0,43.56,1091.26
7029-rpuav,month-to-month,1,credit card,100.45,1622.45,0.0,0.0,479.06,2101.51
8111-sllhi,month-to-month,1,bank withdrawal,105.65,4284.8,0.0,0.0,1296.75,5581.55
5293-wxjak,month-to-month,1,bank withdrawal,104.05,1133.65,0.0,0.0,189.75,1323.4
4086-yqsnz,month-to-month,1,bank withdrawal,80.4,224.05,0.0,0.0,9.87,233.92
8399-yndch,month-to-month,1,bank withdrawal,60.05,1236.15,0.0,0.0,727.02,1963.17
5565-filxa,month-to-month,1,bank withdrawal,96.15,1529.2,0.0,0.0,620.0,2149.2
4187-cinzd,one year,0,credit card,95.25,4424.2,0.0,0.0,281.98,4706.18
6818-wobhj,month-to-month,1,bank withdrawal,89.6,6127.6,0.0,0.0,1640.84,7768.44
9134-ceqmf,month-to-month,1,bank withdrawal,89.5,676.7,0.0,0.0,95.41,772.11
8519-imdhu,month-to-month,1,bank withdrawal,85.6,1345.55,0.0,0.0,678.75,2024.3
3372-kwfbm,month-to-month,1,bank withdrawal,86.6,1281.0,0.0,0.0,306.88,1587.88
7206-gzcdc,month-to-month,1,bank withdrawal,69.25,69.25,0.0,0.0,29.68,98.93
1768-zaifu,month-to-month,1,bank withdrawal,25.2,25.2,0.0,0.0,0.0,25.2
3793-mmfuh,month-to-month,1,bank withdrawal,95.05,1290.0,0.0,0.0,247.39,1537.39
6567-hoopw,month-to-month,1,bank withdrawal,79.2,79.2,0.0,0.0,20.06,99.26
8621-mnihh,month-to-month,1,bank withdrawal,94.25,3217.55,0.0,0.0,97.92,3315.47
5419-conwx,month-to-month,1,credit card,99.8,442.85,0.0,0.0,50.72,493.57
7024-ohcck,month-to-month,1,bank withdrawal,93.85,170.85,0.0,0.0,38.54,209.39
5357-tzhpp,month-to-month,1,credit card,84.4,732.5,0.0,0.0,277.2,1009.7
0506-lvngn,month-to-month,1,credit card,75.55,349.65,0.0,0.0,211.65,561.3
9809-imgcq,month-to-month,1,bank withdrawal,96.7,2082.95,0.0,100.0,883.96,3066.91
3254-yrilk,month-to-month,1,bank withdrawal,88.2,1775.8,0.0,0.0,759.43,2535.23
0529-onker,month-to-month,0,bank withdrawal,75.65,1146.65,0.0,0.0,695.7,1842.35
5240-ijoqt,month-to-month,1,bank withdrawal,74.7,74.7,0.0,0.0,11.34,86.04
0661-xeyan,month-to-month,1,mailed check,25.8,25.8,0.0,20.0,0.0,45.8
2660-emubi,month-to-month,1,bank withdrawal,95.35,898.35,0.0,0.0,413.7,1312.05
7675-ozczg,month-to-month,0,bank withdrawal,45.0,127.1,0.0,10.0,90.42,227.52
9391-eoyli,month-to-month,1,bank withdrawal,80.45,950.2,0.0,0.0,83.64,1033.84
2761-ociax,month-to-month,1,bank withdrawal,74.7,165.4,0.0,0.0,13.02,178.42
3068-omwza,month-to-month,1,bank withdrawal,88.8,88.8,0.0,10.0,49.6,148.4
4154-aqugt,month-to-month,1,bank withdrawal,89.05,1169.35,0.0,0.0,19.11,1188.46
8017-lxhfa,month-to-month,1,bank withdrawal,94.75,2293.6,0.0,0.0,716.91,3010.51
4248-qpavc,month-to-month,1,bank withdrawal,85.35,1463.45,0.0,0.0,625.94,2089.39
4690-llkua,month-to-month,1,bank withdrawal,45.05,770.6,0.0,0.0,695.81,1466.41
9490-dfpmd,month-to-month,1,bank withdrawal,84.65,3541.35,0.0,0.0,400.26,3941.61
8580-aecuz,month-to-month,1,bank withdrawal,79.1,79.1,0.0,0.0,42.3,121.4
5047-lhvly,month-to-month,1,mailed check,50.15,50.15,0.0,0.0,39.78,89.93
8375-dkebr,month-to-month,1,bank withdrawal,69.6,69.6,0.0,0.0,34.51,104.11
7279-buywn,month-to-month,1,bank withdrawal,113.2,4689.5,0.0,0.0,1145.95,5835.45
7156-mhugy,month-to-month,1,bank withdrawal,90.5,1201.15,29.84,140.0,339.43,1650.74
9606-pbkbq,month-to-month,1,bank withdrawal,85.0,2642.05,49.57,0.0,191.68,2784.16
3536-iqctx,month-to-month,0,bank withdrawal,85.3,2661.1,0.0,0.0,1587.2,4248.3
3132-tvfdz,month-to-month,1,bank withdrawal,44.85,2572.95,12.07,0.0,0.0,2560.88
8080-ddemj,month-to-month,0,bank withdrawal,45.1,45.1,0.0,0.0,15.28,60.38
6702-ohfwr,month-to-month,1,bank withdrawal,43.3,43.3,0.0,0.0,0.0,43.3
4510-pyush,month-to-month,1,credit card,57.15,2250.65,0.0,0.0,991.8,3242.45
8840-dqlgn,month-to-month,1,bank withdrawal,100.5,3653.35,0.0,0.0,559.3,4212.65
4193-orfcl,month-to-month,0,credit card,45.1,45.1,0.0,0.0,15.24,60.34
7776-qwnfx,month-to-month,1,bank withdrawal,50.4,1527.5,0.0,0.0,139.5,1667.0
6689-tczhq,month-to-month,0,bank withdrawal,78.95,378.4,0.0,0.0,61.35,439.75
3424-nmnbo,one year,1,bank withdrawal,108.85,6287.25,0.0,0.0,2864.04,9151.29
4514-gfcfi,month-to-month,1,bank withdrawal,84.75,1350.15,0.0,0.0,280.16,1630.31
8000-reiqb,month-to-month,1,bank withdrawal,69.95,69.95,0.0,10.0,22.5,102.45
4795-ktrth,month-to-month,1,bank withdrawal,81.0,371.65,40.64,10.0,236.4,577.41
9961-jbnmk,month-to-month,1,bank withdrawal,96.8,2030.3,10.2,0.0,887.67,2907.77
6179-gjpso,month-to-month,1,credit card,108.15,4600.7,0.0,0.0,1368.69,5969.39
8290-ywkhz,month-to-month,1,bank withdrawal,93.2,2931.0,17.88,0.0,1079.68,3992.8
8051-hjrlt,month-to-month,1,bank withdrawal,70.55,70.55,0.0,0.0,18.2,88.75
4021-rqsny,month-to-month,1,bank withdrawal,98.5,3004.15,37.55,40.0,747.62,3754.22
9061-tihda,month-to-month,1,bank withdrawal,95.25,1233.65,48.09,0.0,412.1,1597.66
8699-asufo,month-to-month,1,credit card,74.4,527.9,32.46,0.0,62.44,557.88
4695-wjzue,month-to-month,1,bank withdrawal,88.55,179.25,0.0,0.0,43.14,222.39
3988-rqixo,month-to-month,1,bank withdrawal,91.3,91.3,0.0,0.0,43.61,134.91
5931-fljjf,month-to-month,1,credit card,70.1,467.55,20.23,0.0,112.35,559.67
3207-oybwh,month-to-month,1,bank withdrawal,95.25,5427.05,12.59,0.0,2844.87,8259.33
7216-ewtrs,month-to-month,1,bank withdrawal,100.8,100.8,0.0,0.0,17.35,118.15
2528-hfyzx,month-to-month,1,bank withdrawal,76.45,1233.4,0.0,0.0,17.85,1251.25
4140-muhug,month-to-month,1,bank withdrawal,86.85,220.95,0.0,0.0,55.14,276.09
1587-fklzb,month-to-month,1,credit card,99.5,6822.15,0.0,0.0,1904.76,8726.91
5440-flbqg,two year,1,bank withdrawal,108.4,7318.2,0.0,0.0,3372.72,10690.92
2774-lvqus,month-to-month,1,bank withdrawal,83.05,1258.3,0.0,110.0,661.95,2030.25
4612-thjbs,one year,1,bank withdrawal,104.75,5510.65,0.0,0.0,1936.48,7447.13
4094-nsedu,month-to-month,1,bank withdrawal,94.25,1973.75,0.0,0.0,444.15,2417.9
1846-xwoqn,month-to-month,1,bank withdrawal,70.15,70.15,0.0,0.0,47.97,118.12
3757-njybx,month-to-month,0,bank withdrawal,106.35,3520.75,0.0,0.0,253.44,3774.19
9898-kzqdz,month-to-month,1,credit card,94.55,3640.45,0.0,0.0,1980.0,5620.45
8263-jqaik,month-to-month,1,credit card,24.45,47.5,0.0,0.0,0.0,47.5
2205-ymzzj,month-to-month,1,bank withdrawal,84.8,546.95,0.0,0.0,276.57,823.52
1254-izeyf,month-to-month,1,bank withdrawal,99.95,3186.65,0.0,0.0,1220.16,4406.81
9221-otivj,month-to-month,1,bank withdrawal,104.85,1531.4,0.0,0.0,419.44,1950.84
5908-qmgoe,month-to-month,1,credit card,74.2,1133.9,43.31,0.0,352.95,1443.54
0397-gzbbc,month-to-month,1,bank withdrawal,93.85,5574.75,8.13,0.0,636.02,6202.64
7641-euyet,month-to-month,1,bank withdrawal,100.7,4541.2,46.64,0.0,2259.06,6753.62
8922-liegh,month-to-month,1,bank withdrawal,89.7,2187.55,23.33,0.0,909.0,3073.22
8245-umpyt,month-to-month,1,bank withdrawal,96.4,1581.2,47.2,0.0,513.76,2047.76
5186-samnz,month-to-month,1,bank withdrawal,69.5,69.5,0.0,80.0,41.2,190.7
5373-sfodm,month-to-month,1,credit card,85.25,3132.75,0.0,0.0,883.44,4016.19
0022-tcjci,one year,0,credit card,62.7,2791.5,0.0,0.0,480.15,3271.65
5130-iekqt,month-to-month,0,credit card,105.95,2655.25,0.0,0.0,1158.5,3813.75
3269-atywd,month-to-month,1,bank withdrawal,95.65,3759.05,0.0,150.0,1635.27,5544.32
0354-wyrok,month-to-month,1,bank withdrawal,98.9,2911.3,0.0,0.0,1486.45,4397.75
7576-oywbn,month-to-month,1,bank withdrawal,76.05,231.8,0.0,0.0,90.75,322.55
5539-tmzlf,month-to-month,1,bank withdrawal,69.75,69.75,0.0,0.0,33.84,103.59
3336-jorso,month-to-month,1,bank withdrawal,110.45,3655.45,0.0,70.0,568.92,4294.37
6861-xwtwq,month-to-month,1,bank withdrawal,99.25,665.45,0.0,0.0,300.44,965.89
4283-futgf,month-to-month,1,bank withdrawal,79.85,1471.75,0.0,0.0,318.82,1790.57
2397-brlom,month-to-month,1,credit card,80.45,583.45,0.0,0.0,215.92,799.37
8510-awcxc,month-to-month,1,bank withdrawal,100.8,1308.1,0.0,0.0,93.86,1401.96
8225-btjau,month-to-month,1,bank withdrawal,79.25,793.55,0.0,0.0,75.1,868.65
1724-bquha,month-to-month,1,bank withdrawal,89.5,477.7,0.0,0.0,228.6,706.3
4826-xtsoh,month-to-month,1,bank withdrawal,86.05,86.05,0.0,0.0,38.78,124.83
2408-witxk,month-to-month,1,bank withdrawal,34.7,329.8,0.0,0.0,0.0,329.8
2634-hczgt,one year,1,bank withdrawal,60.05,3229.65,0.0,100.0,1148.51,4478.16
7503-qqrvf,month-to-month,1,credit card,74.3,1178.25,0.0,0.0,417.92,1596.17
0709-tvgur,month-to-month,1,bank withdrawal,74.55,622.9,33.25,0.0,158.04,747.69
3001-cbhlq,month-to-month,1,bank withdrawal,104.9,3351.55,33.73,0.0,1392.32,4710.14
4102-oqupx,month-to-month,1,bank withdrawal,74.4,74.4,0.0,30.0,17.36,121.76
3999-qgrjh,month-to-month,1,bank withdrawal,69.7,560.85,0.0,0.0,119.12,679.97
2454-rpbrz,month-to-month,1,bank withdrawal,98.1,1060.2,49.06,0.0,367.56,1378.7
2265-cywiv,month-to-month,1,bank withdrawal,99.6,347.65,25.79,0.0,75.64,397.5
4550-vbofe,month-to-month,1,bank withdrawal,102.95,7101.5,15.24,0.0,1221.5,8307.76
7409-kiutl,month-to-month,1,bank withdrawal,71.0,71.0,0.0,0.0,28.64,99.64
1732-vhubq,month-to-month,0,bank withdrawal,70.55,3309.25,26.99,0.0,1266.65,4548.91
0679-idstg,month-to-month,1,bank withdrawal,69.25,69.25,0.0,0.0,37.3,106.55
8802-unojf,month-to-month,1,credit card,83.8,1029.75,44.58,80.0,343.56,1408.73
6313-gidit,month-to-month,1,bank withdrawal,54.45,2854.55,20.16,0.0,0.0,2834.39
2845-afftx,month-to-month,1,bank withdrawal,99.8,4259.3,8.88,0.0,924.96,5175.38
2815-cptul,month-to-month,1,credit card,70.25,331.9,12.48,0.0,11.35,330.77
1891-fzysa,month-to-month,1,bank withdrawal,89.95,6143.15,6.79,110.0,1127.46,7373.82
9685-wkzgt,month-to-month,1,bank withdrawal,74.95,1036.75,39.29,0.0,228.48,1225.94
6022-uggso,month-to-month,1,bank withdrawal,74.4,2276.95,44.31,0.0,1063.04,3295.68
3923-csihk,month-to-month,1,bank withdrawal,71.05,3444.85,0.0,0.0,230.0,3674.85
3677-iyrbf,month-to-month,1,bank withdrawal,30.4,78.65,0.0,0.0,0.0,78.65
5277-zloor,month-to-month,1,bank withdrawal,85.55,187.45,0.0,0.0,10.98,198.43
4248-hcetz,month-to-month,1,credit card,79.65,2365.15,0.0,0.0,186.9,2552.05
9174-fkwze,month-to-month,1,bank withdrawal,19.45,19.45,0.0,0.0,22.92,42.37
5307-dzcvc,month-to-month,1,credit card,85.95,2628.6,0.0,0.0,1566.4,4195.0
8679-joevf,month-to-month,0,bank withdrawal,59.4,1023.9,0.0,0.0,589.28,1613.18
4803-axvyp,month-to-month,1,bank withdrawal,99.55,3734.25,0.0,0.0,1800.82,5535.07
5649-anrml,month-to-month,1,credit card,95.1,180.25,0.0,0.0,25.92,206.17
7395-igjos,month-to-month,0,bank withdrawal,81.5,1329.2,0.0,0.0,161.5,1490.7
7890-vyywg,month-to-month,1,credit card,36.45,93.7,0.0,0.0,0.0,93.7
9907-swkkf,month-to-month,0,credit card,25.05,25.05,0.0,0.0,0.0,25.05
6397-jnzzg,month-to-month,0,credit card,55.55,2342.2,0.0,0.0,0.0,2342.2
7779-lgovn,month-to-month,1,bank withdrawal,86.65,856.65,0.0,0.0,465.0,1321.65
9710-zushq,month-to-month,1,bank withdrawal,106.75,4056.75,0.0,0.0,1548.45,5605.2
3902-foigh,month-to-month,1,bank withdrawal,101.35,1218.55,0.0,0.0,582.0,1800.55
3318-osats,month-to-month,1,bank withdrawal,95.45,3474.05,0.0,80.0,1228.5,4782.55
2636-alxxz,month-to-month,1,bank withdrawal,69.6,69.6,0.0,0.0,45.8,115.4
9885-csmwe,month-to-month,0,bank withdrawal,78.45,78.45,0.0,0.0,18.37,96.82
8058-jmeqo,month-to-month,1,bank withdrawal,84.45,762.5,0.0,0.0,116.19,878.69
7657-dyepj,one year,1,credit card,70.15,2497.35,0.0,0.0,218.5,2715.85
8276-mqbyc,month-to-month,1,bank withdrawal,97.8,4913.3,0.0,0.0,993.99,5907.29
6015-vvhhe,month-to-month,1,credit card,83.15,446.05,0.0,0.0,209.15,655.2
7580-ugxnc,month-to-month,0,credit card,54.85,104.2,0.0,0.0,51.48,155.68
5178-lmxop,month-to-month,1,bank withdrawal,95.1,95.1,0.0,0.0,4.89,99.99
7056-imhcc,month-to-month,1,bank withdrawal,101.9,5549.4,0.0,0.0,420.82,5970.22
8749-jmnkx,month-to-month,1,bank withdrawal,93.8,4750.95,0.0,0.0,1129.14,5880.09
0917-ezola,two year,1,bank withdrawal,104.15,7689.95,0.0,0.0,434.16,8124.11
8414-myshr,month-to-month,1,bank withdrawal,91.4,449.75,0.0,0.0,22.95,472.7
4988-iqigl,month-to-month,1,bank withdrawal,75.35,75.35,0.0,0.0,28.49,103.84
5889-jtmul,month-to-month,1,bank withdrawal,95.05,4888.7,0.0,50.0,1578.0,6516.7
9026-rnujs,month-to-month,0,bank withdrawal,50.35,237.25,0.0,0.0,93.45,330.7
2260-ustrb,month-to-month,1,bank withdrawal,70.2,115.95,0.0,0.0,19.1,135.05
8623-tmrby,month-to-month,1,bank withdrawal,84.2,4146.05,0.0,0.0,2222.58,6368.63
3346-brmis,month-to-month,1,bank withdrawal,48.35,810.7,0.0,0.0,0.0,810.7
2722-jmoni,month-to-month,1,bank withdrawal,49.55,49.55,0.0,0.0,24.24,73.79
7579-oopec,month-to-month,0,credit card,50.15,115.1,0.0,0.0,13.72,128.82
1771-oadnz,month-to-month,1,bank withdrawal,95.9,2745.2,0.0,50.0,1026.02,3821.22
0612-rtzza,month-to-month,0,bank withdrawal,25.25,25.25,0.0,0.0,0.0,25.25
4433-jcgcg,month-to-month,1,bank withdrawal,101.0,4680.05,0.0,0.0,246.56,4926.61
9488-hgmjh,month-to-month,1,bank withdrawal,71.15,71.15,0.0,20.0,24.75,115.9
4818-qiufn,month-to-month,1,bank withdrawal,79.15,1520.9,0.0,0.0,236.4,1757.3
6961-vcpmc,month-to-month,1,bank withdrawal,80.4,3605.2,0.0,20.0,2236.52,5861.72
4424-tkopw,month-to-month,1,bank withdrawal,93.85,196.75,0.0,0.0,50.38,247.13
4201-jmngr,month-to-month,1,bank withdrawal,55.8,55.8,0.0,0.0,26.22,82.02
