customer_id,city,zip_code
8779-qrdmv,los angeles,90022
7495-ookfy,los angeles,90063
1658-bygoy,los angeles,90065
4598-xlknj,inglewood,90303
4846-whafz,whittier,90602
4412-yltkf,pico rivera,90660
0390-dcfdq,los alamitos,90720
3445-hxxgf,sierra madre,91024
2656-fmokz,pasadena,91106
2070-fnexe,pasadena,91107
0094-oifmo,north hollywood,91605
9947-otfqu,covina,91722
9514-jdski,el monte,91732
7273-tefqd,la puente,91746
3606-twkgi,rowland heights,91748
4385-gzqxv,ontario,91764
3488-pgmqj,alpine,91901
7534-bfesc,san diego,92122
8098-llazx,san diego,92122
0265-edxbd,san diego,92122
2840-xanrc,san diego,92122
5020-zstty,san diego,92122
5804-lepim,san diego,92122
0623-iihug,san diego,92122
9057-mswco,san diego,92122
4895-tmwir,san diego,92122
0533-bnwkf,san diego,92122
0334-gddso,san diego,92122
5564-nemqo,thermal,92274
6235-vdhom,riverside,92509
5609-cebid,hemet,92544
5956-vkdtt,moreno valley,92557
0257-zesqc,perris,92571
2865-tchjw,anaheim,92807
5192-ebgov,brea,92823
3419-snjjd,yorba linda,92887
4554-ygzih,summerland,93067
5099-bailx,santa barbara,93101
4913-ehyui,alpaugh,93201
1626-ercmm,camp nelson,93208
5644-pdmzc,delano,93215
4160-amjtl,fellows,93224
0823-hscdj,temecula,92592
0067-dkwbl,san diego,92129
5244-irfih,san diego,92129
2684-eiweo,san diego,92129
6683-vlctz,san diego,92129
0691-ifbqw,biola,93606
3643-ahcfp,selma,93662
9231-zjyam,squaw valley,93675
0727-bmplr,fresno,93706
0947-mugvo,jolon,93928
0781-lkxbr,san francisco,94102
1907-ubqfc,san francisco,94108
6513-eecdb,san francisco,94114
7074-ievoj,san francisco,94130
4750-zrxiu,palo alto,94304
7028-dvoiq,birds landing,94512
4208-uffgw,byron,94514
9889-tmahg,fremont,94539
8919-fyfqz,livermore,94550
6646-qvxlr,napa,94558
9369-xfehk,pleasanton,94566
1374-dmzui,san ramon,94583
1989-prjhp,pleasanton,94588
4822-rvybb,berkeley,94704
4184-tjfan,berkeley,94707
4145-uqxuq,berkeley,94710
1236-wfcdv,greenbrae,94904
1271-sjbgz,forest knolls,94933
4441-nihpt,freedom,95019
8999-bohse,gilroy,95020
7029-rpuav,los gatos,95030
8111-sllhi,san jose,95128
5293-wxjak,san jose,95135
4086-yqsnz,glencoe,95232
8399-yndch,columbia,95310
5565-filxa,escondido,92027
4187-cinzd,lakewood,90712
6818-wobhj,fulton,95439
9134-ceqmf,nice,95464
8519-imdhu,alderpoint,95511
3372-kwfbm,bayside,95524
7206-gzcdc,loleta,95551
1768-zaifu,rio dell,95562
3793-mmfuh,davis,95618
6567-hoopw,folsom,95630
8621-mnihh,madison,95653
5419-conwx,pleasant grove,95668
7024-ohcck,sheridan,95681
5357-tzhpp,wheatland,95692
0506-lvngn,rancho cordova,95742
9809-imgcq,canyon dam,95923
3254-yrilk,dobbins,95935
0529-onker,forest ranch,95942
5240-ijoqt,grass valley,95949
0661-xeyan,nevada city,95959
2660-emubi,escondido,92027
7675-ozczg,fallbrook,92028
9391-eoyli,lewiston,96052
2761-ociax,palo cedro,96073
3068-omwza,round mountain,96084
4154-aqugt,san diego,92130
8017-lxhfa,san diego,92130
4248-qpavc,san diego,92130
4690-llkua,san diego,92130
9490-dfpmd,san diego,92130
8580-aecuz,san diego,92130
5047-lhvly,san diego,92121
8375-dkebr,hermosa beach,90254
7279-buywn,buena park,90620
7156-mhugy,buena park,90621
9606-pbkbq,long beach,90813
3536-iqctx,south pasadena,91030
3132-tvfdz,glendale,91202
8080-ddemj,glendale,91204
6702-ohfwr,reseda,91335
4510-pyush,sylmar,91342
8840-dqlgn,burbank,91502
4193-orfcl,north hollywood,91606
7776-qwnfx,chino,91710
6689-tczhq,claremont,91711
9497-qcmms,san diego,92117
3424-nmnbo,san diego,92117
4514-gfcfi,san diego,92117
8000-reiqb,san diego,92117
4795-ktrth,san diego,92122
9961-jbnmk,desert center,92239
6179-gjpso,escondido,92027
8290-ywkhz,fallbrook,92028
8051-hjrlt,wrightwood,92397
4021-rqsny,moreno valley,92555
9061-tihda,murrieta,92563
8699-asufo,nuevo,92567
4695-wjzue,irvine,92606
3988-rqixo,corona del mar,92625
5931-fljjf,midway city,92655
3207-oybwh,newport beach,92661
7216-ewtrs,newport beach,92663
2528-hfyzx,santa ana,92706
4140-muhug,oak view,93022
1587-fklzb,santa barbara,93101
5440-flbqg,santa barbara,93110
2774-lvqus,temecula,92592
4612-thjbs,terra bella,93270
4094-nsedu,temecula,92592
1846-xwoqn,bradley,93426
3757-njybx,nipomo,93444
9898-kzqdz,lee vining,93541
8263-jqaik,palmdale,93591
2205-ymzzj,clovis,93612
1254-izeyf,cutler,93615
9221-otivj,dunlap,93621
5908-qmgoe,fowler,93625
0397-gzbbc,south dos palos,93665
7641-euyet,tranquillity,93668
8922-liegh,jolon,93928
8245-umpyt,lockwood,93932
5186-samnz,marina,93933
5373-sfodm,san lucas,93954
0022-tcjci,daly city,94015
5130-iekqt,san francisco,94109
3269-atywd,san francisco,94123
0354-wyrok,san francisco,94130
7576-oywbn,san mateo,94402
5539-tmzlf,concord,94520
3336-jorso,hayward,94542
6861-xwtwq,napa,94559
4283-futgf,el sobrante,94803
2397-brlom,san rafael,94901
8510-awcxc,novato,94945
8225-btjau,stinson beach,94970
1724-bquha,los gatos,95032
4826-xtsoh,moss landing,95039
2408-witxk,san jose,95110
2634-hczgt,san jose,95126
7503-qqrvf,san jose,95127
0709-tvgur,stockton,95207
3001-cbhlq,angels camp,95222
4102-oqupx,sheep ranch,95251
3999-qgrjh,ballico,95303
2454-rpbrz,catheys valley,95306
2265-cywiv,hickman,95323
4550-vbofe,soulsbyville,95372
7409-kiutl,escondido,92027
1732-vhubq,escondido,92027
0679-idstg,branscomb,95417
8802-unojf,philo,95466
6313-gidit,point arena,95468
2845-afftx,westport,95488
2815-cptul,gasquet,95543
1891-fzysa,piercy,95587
9685-wkzgt,carmichael,95608
6022-uggso,citrus heights,95610
3923-csihk,herald,95638
3677-iyrbf,newcastle,95658
8118-lsuel,roseville,95678
5277-zloor,applegate,95703
4248-hcetz,sacramento,95814
9174-fkwze,sacramento,95819
5307-dzcvc,sacramento,95835
8679-joevf,sacramento,95838
4803-axvyp,butte city,95920
5649-anrml,clipper mills,95930
7395-igjos,quincy,95971
7890-vyywg,sutter,95982
9907-swkkf,twain,95984
6397-jnzzg,adin,96006
7779-lgovn,paskenta,96074
9710-zushq,red bluff,96080
3902-foigh,doyle,96109
3318-osats,sierra city,96125
2636-alxxz,tahoe vista,96148
9885-csmwe,los angeles,90007
8058-jmeqo,san diego,92121
7657-dyepj,los angeles,90024
8276-mqbyc,los angeles,90028
6015-vvhhe,los angeles,90039
2516-vqrrv,culver city,90230
7580-ugxnc,culver city,90232
5178-lmxop,gardena,90248
7056-imhcc,torrance,90501
8749-jmnkx,montebello,90640
0917-ezola,lakewood,90713
8414-myshr,arcadia,91007
4988-iqigl,canoga park,91304
4706-axvkm,stevenson ranch,91381
5889-jtmul,castaic,91384
9026-rnujs,van nuys,91401
1624-naloj,north hollywood,91605
6210-kbbpi,west covina,91790
2260-ustrb,campo,91906
8623-tmrby,chula vista,91915
6900-pxrms,spring valley,91978
3346-brmis,bonsall,92003
2722-jmoni,escondido,92029
7579-oopec,pala,92059
1771-oadnz,pauma valley,92061
0612-rtzza,vista,92084
4433-jcgcg,san diego,92129
9488-hgmjh,indian wells,92210
4818-qiufn,desert hot springs,92241
6961-vcpmc,north palm springs,92258
4424-tkopw,crestline,92325
4201-jmngr,lucerne valley,92356
1866-rzzqs,redlands,92373
8631-nbhfz,running springs,92382
4958-xcbdq,victorville,92394
8337-upoaq,wrightwood,92397
6712-oawrh,san bernardino,92408
5914-dvbwj,riverside,92508
8644-xlfbw,lake elsinore,92532
1833-vgrum,perris,92570
8374-xgejj,temecula,92590
6946-lmsqs,temecula,92592
4039-heunw,irvine,92620
0812-wuptb,corona del mar,92625
2403-bcasl,santa ana,92705
3871-ikpyh,camarillo,93010
1304-necvq,somis,93066
5655-jsmzm,coalinga,93210
4505-exzhb,ducor,93218
8972-hjwnv,huron,93234
2860-ranus,mc kittrick,93251
0406-bpdvr,visalia,93277
5276-kqwhg,woody,93287
9667-eqrxu,boron,93516
0946-cljti,palmdale,93551
0324-brpcj,palmdale,93591
9189-jwshv,helm,93627
0576-wnxxc,parlier,93648
5482-plvpe,daly city,94014
4902-ohlsk,half moon bay,94019
0495-zbngw,loma mar,94021
2357-coqek,atherton,94027
2034-cgrhz,san francisco,94104
9360-ahgnl,concord,94519
5485-wuywf,crockett,94525
2632-ucgvd,fairfield,94533
6425-yqllo,pinole,94564
2091-rffba,port costa,94569
6899-ppeea,vallejo,94590
4597-nucqv,oakland,94601
3754-dxmrt,san pablo,94806
7130-vtewq,san rafael,94903
7903-cmpey,corte madera,94925
1704-nrwye,point reyes station,94956
7481-atqqs,boulder creek,95006
0023-hghwl,morgan hill,95037
1792-uxafy,san jose,95110
6161-uuuta,stockton,95206
6543-xrmyr,stockton,95209
2479-bramr,murphys,95247
3714-jtvov,crows landing,95313
8580-qvloc,merced,95348
2012-nwrpa,modesto,95355
8808-eleho,modesto,95356
9058-cbreo,winton,95388
8063-gbatb,cobb,95426
1069-xaiem,mendocino,95460
6987-xqsjt,blue lake,95525
0722-troqr,davis,95616
6402-zfppi,fair oaks,95628
9965-yokzb,grizzly flats,95636
0504-hhapi,guinda,95637
3791-lgqcy,loomis,95650
8166-zztfs,roseville,95661
2956-ggucq,pioneer,95666
2778-oclgr,soda springs,95728
7067-ksazt,chico,95928
9300-agznl,elk creek,95939
1112-cunao,grimes,95950
3389-ygyai,princeton,95970
3070-dveyc,williams,95987
5707-orndz,yuba city,95993
8696-jkznu,anderson,96007
2055-pdadh,big bend,96011
2302-antdp,hat creek,96040
5233-geeax,lewiston,96052
7137-rylpp,paskenta,96074
3957-lxolk,shingletown,96088
5281-buzgt,weaverville,96093
2718-gaxqd,fallbrook,92028
3217-fzdmn,los angeles,90001
7480-qnvzj,los angeles,90005
7124-ugsur,los angeles,90028
1862-skory,los angeles,90029
4816-jbhov,los angeles,90044
3247-zvouo,downey,90240
1268-asbga,huntington park,90255
4713-lzdrv,malibu,90263
4325-nfskc,pacific palisades,90272
6502-hcjti,lakewood,90712
8258-gstjk,san pedro,90732
2995-uprys,long beach,90802
6686-ypghk,long beach,90808
8020-bwhyl,montrose,91020
6892-xpfpu,pasadena,91107
8010-ezlou,san marino,91108
8062-ybdoe,canyon country,91351
3672-yitqd,castaic,91384
8988-ecpjr,van nuys,91411
3776-ektkm,burbank,91501
0643-oklrp,azusa,91702
9381-ndkme,el monte,91731
8327-lzkas,pomona,91767
1075-bgwoh,rosemead,91770
8485-gjcdn,san diego,92109
6029-wtipc,san diego,92109
3317-hrtnn,san diego,92109
5569-ouicf,san diego,92109
5747-pmbsq,san diego,92126
2982-ihmft,san diego,92126
5143-egqfk,san diego,92126
6168-wfvvf,san diego,92126
7450-nwrtr,san diego,92126
6005-obzph,san diego,92126
7932-wptds,san diego,92126
7000-wcevq,wrightwood,92397
5959-belxa,yucaipa,92399
2506-tnfco,riverside,92509
6060-drtnl,san jacinto,92583
8473-vuvjn,temecula,92590
0196-vulgz,irvine,92620
1976-cfocs,dana point,92629
4631-oacrm,lake forest,92630
3755-jbmnh,huntington beach,92648
6345-ulyrw,laguna beach,92651
0013-exchz,camarillo,93010
5550-vfrlc,moorpark,93021
2657-almwy,simi valley,93065
6284-ahooq,avenal,93204
2460-fpsyh,exeter,93221
5028-htljb,new cuyama,93254
0875-cabnr,san luis obispo,93401
6982-uqzly,los alamos,93440
0193-eszxp,oceano,93445
4369-htuif,pismo beach,93449
5287-qwlky,big pine,93513
1891-uawwu,johannesburg,93528
3096-jrdso,fallbrook,92028
2398-ypmur,dinuba,93618
1265-xtecc,madera,93638
4871-jtkjf,selma,93662
1415-yfwlt,shaver lake,93664
3500-rmzlt,fresno,93702
2642-dtvco,chualar,93925
1363-txlsl,san lucas,93954
7136-rvdtz,portola valley,94028
6927-wtfiv,redwood city,94061
3398-zouaa,redwood city,94063
4844-jjwuy,san francisco,94121
4785-qrjhc,san francisco,94132
1965-aktsx,byron,94514
7248-vzqlc,concord,94521
0011-igkff,martinez,94553
6496-slwhq,moraga,94556
9912-gvseq,napa,94558
5383-mmtwc,oakley,94561
6877-lgwxo,pleasanton,94588
5167-gbfre,oakland,94602
1324-nltje,emeryville,94608
5567-wsele,richmond,94801
6646-vrfol,larkspur,94939
9090-sgqxl,ben lomond,95005
6595-ygxit,boulder creek,95006
9835-ziitk,campbell,95008
5649-tjhov,davenport,95017
9253-qxkbe,morgan hill,95037
8775-lhdjh,san jose,95136
3097-nqysn,san jose,95139
3565-unocc,stockton,95209
9190-mfjln,vallecito,95251
1095-judtc,woodbridge,95258
5385-suiri,delhi,95315
6328-zpbgn,riverbank,95367
2856-nnasm,santa rosa,95407
6769-dybqn,clearlake,95422
2446-beggb,lakewood,90712
1496-ggsuk,fulton,95439
3296-silra,lakeport,95453
5180-uciiq,lucerne,95458
1977-stdki,the sea ranch,95497
5813-uecbu,bridgeville,95526
4342-hentk,garberville,95542
1597-lhync,auburn,95602
8651-enbzx,grizzly flats,95636
9286-dojgf,lotus,95651
9661-mhumo,mather,95655
8884-adfvn,roseville,95678
2720-wgkhp,sloughhouse,95683
9776-cluja,sacramento,95829
3551-huazh,brownsville,95919
8634-mphtr,forbestown,95941
2474-brucm,redding,96002
0616-atfgb,shasta lake,96019
7235-nxzcp,hornbrook,96044
6661-hbgwl,mineral,96063
9317-wzpgv,paskenta,96074
3621-ceovk,trinity center,96091
7632-mnyoy,tahoe vista,96148
9248-ojykk,san diego,92121
3398-fshon,san diego,92121
3319-dwoep,san diego,92121
0818-ocpzo,los angeles,90059
1389-cxmlu,downey,90242
5561-nwevx,hermosa beach,90254
2272-qagfo,inglewood,90304
3768-nlubh,torrance,90503
7359-ssbjk,whittier,90605
0685-mlyym,buena park,90620
7957-ryhqd,bellflower,90706
6230-bsuxy,paramount,90723
3990-qykbe,la canada flintridge,91011
9274-cnfmo,pacoima,91331
3005-nfmta,valencia,91354
5389-ffvkb,thousand oaks,91360
8444-wridw,thousand oaks,91362
5868-ywpdw,sherman oaks,91423
1273-mteti,rancho cucamonga,91737
5480-hprrx,glendora,91740
7234-fecyn,san gabriel,91776
1400-mmyxy,alhambra,91801
7142-hvgbg,mount laguna,91948
1564-ntyxf,san marcos,92078
0886-qgenl,san diego,92104
8739-wwkdu,san diego,92109
8685-whqpw,san diego,92110
7240-fqlhe,san diego,92114
6664-fpdac,san diego,92115
0786-vssud,san diego,92123
6583-qgcsi,indian wells,92210
1980-kxvpm,el centro,92243
0723-drclg,fallbrook,92028
6894-lfhly,escondido,92027
8361-ltmkd,fallbrook,92028
3841-nfecx,los angeles,90033
4929-xihvw,los angeles,90034
3413-bmnze,los angeles,90037
8012-soudq,los angeles,90059
6575-suvoi,los angeles,90062
4667-qonea,los angeles,90064
5067-xjqfu,los angeles,90067
1891-qrqsa,downey,90241
2673-cxqeu,gardena,90247
0191-zhskz,hawthorne,90250
2424-wvhpl,redondo beach,90278
5386-thslq,santa monica,90402
2639-ugmaz,artesia,90701
3146-msegf,paramount,90723
1131-qqzeb,sunset beach,90742
2504-dshih,thousand oaks,91360
9058-hrzsv,baldwin park,91706
4522-akylr,chino hills,91709
0221-wmxnq,chino,91710
5046-nuhwd,hacienda heights,91745
7529-zdfxi,la verne,91750
3197-arfoy,ontario,91761
4716-hhkqh,pomona,91767
3179-gbrwv,san gabriel,91775
4847-tajyi,chula vista,91911
6851-wefyx,descanso,91916
3167-snqpl,pine valley,91962
2799-arnlo,bonsall,92003
5701-yvsvf,fallbrook,92028
5697-gombf,julian,92036
2739-cacdq,la jolla,92037
6035-bxtty,rancho santa fe,92067
0021-ikxgc,san marcos,92078
4654-dlamq,warner springs,92086
4115-nzrks,san diego,92102
3351-ngxyi,san diego,92106
8204-yjcla,san ysidro,92173
9774-nrnau,cabazon,92230
0224-rlwwd,calexico,92231
3951-njcvi,cathedral city,92234
0177-pxbat,desert center,92239
2519-erqoj,desert hot springs,92241
0111-klbqg,morongo valley,92256
1996-dbmus,palo verde,92266
2055-sifss,westmorland,92281
2806-mlnti,white water,92282
5628-rkifk,bloomington,92316
5760-wrahc,fontana,92336
1480-bkxga,mentone,92359
9076-axyik,nipton,92364
4933-ikulf,pinon hills,92372
3780-ddgse,shoshone,92384
4612-ssvhj,yermo,92398
5756-ozrio,riverside,92504
4513-cxyix,lake elsinore,92532
4332-muoez,moreno valley,92553
