customer_id,has_referred_a_friend,number_of_referrals,has_phone_service,has_multiple_lines,has_internet_service,internet_service_type,has_online_security,has_online_backup,avg_monthly_long_distance_charges,avg_monthly_gb_download,has_device_protection,has_tech_support,has_tv,has_movies,has_music,has_unlimited_data
8779-qrdmv,0,0,0,0,1,dsl,0,0,0.0,8,1,0,0,1,0,0
7495-ookfy,1,1,1,1,1,fiber optic,0,1,48.85,17,0,0,0,0,0,1
1658-bygoy,0,0,1,1,1,fiber optic,0,0,11.33,52,0,0,1,1,1,1
4846-whafz,1,1,1,1,1,fiber optic,0,0,6.33,14,0,0,0,0,0,1
4412-yltkf,0,0,1,1,1,fiber optic,0,0,3.33,18,1,0,0,0,0,0
0390-dcfdq,1,1,1,0,1,fiber optic,0,0,15.28,30,0,0,0,0,0,1
3445-hxxgf,1,6,0,0,1,dsl,0,1,0.0,24,1,0,0,1,0,1
2656-fmokz,0,0,1,1,1,fiber optic,0,0,44.07,19,0,0,0,0,0,1
2070-fnexe,0,0,1,0,1,fiber optic,1,0,26.95,18,0,0,0,0,0,0
0094-oifmo,0,0,1,0,1,fiber optic,0,1,11.59,29,0,0,1,1,0,0
9947-otfqu,0,0,1,0,1,fiber optic,0,1,29.11,29,0,0,0,0,0,1
9514-jdski,1,1,0,0,1,dsl,0,1,0.0,12,0,0,1,0,0,1
7273-tefqd,0,0,0,0,1,dsl,0,0,0.0,28,1,0,0,1,1,1
4385-gzqxv,0,0,1,0,1,fiber optic,0,0,9.43,9,0,1,1,1,1,1
3488-pgmqj,0,0,1,0,1,fiber optic,0,1,1.78,7,0,0,0,0,0,1
7534-bfesc,0,0,1,1,1,fiber optic,0,0,30.87,15,0,0,0,0,0,1
8098-llazx,0,0,1,1,1,fiber optic,0,0,31.61,2,0,0,1,1,0,1
0265-edxbd,1,2,1,1,1,fiber optic,0,0,47.34,10,0,0,0,0,0,1
5020-zstty,0,0,1,1,1,dsl,1,1,12.08,5,0,1,1,1,1,1
5804-lepim,0,0,1,0,1,fiber optic,0,0,13.17,10,0,0,0,0,0,1
0533-bnwkf,1,2,1,1,1,fiber optic,0,1,42.82,27,1,0,0,0,0,0
0334-gddso,0,0,1,1,1,fiber optic,0,1,9.22,14,0,0,0,0,0,1
5564-nemqo,0,0,1,0,1,fiber optic,0,0,35.09,17,1,0,0,0,0,0
6235-vdhom,0,0,0,0,1,dsl,0,1,0.0,26,0,0,0,0,0,1
5609-cebid,0,0,1,1,1,fiber optic,0,1,48.73,12,1,0,0,1,0,0
5956-vkdtt,1,4,1,1,1,fiber optic,0,0,45.76,22,0,0,0,0,0,1
5192-ebgov,0,0,1,1,1,fiber optic,0,0,45.81,21,0,0,1,0,0,1
4554-ygzih,1,3,1,1,1,fiber optic,0,1,22.92,14,0,0,0,1,0,1
